iter	Logloss	Precision
0	0.6931377857	0.6037735849
1	0.6931248123	0.6012269939
2	0.6931137316	0.6052401747
3	0.6931031469	0.6052631579
4	0.693092682	0.6035242291
5	0.6930815268	0.6001749781
6	0.6930687857	0.6033421284
7	0.693055866	0.6049382716
8	0.6930448307	0.6015831135
9	0.6930334972	0.600703606
10	0.6930191753	0.6045895852
11	0.6930038725	0.6054721977
12	0.6929938609	0.6038732394
13	0.6929820316	0.6012269939
14	0.6929699019	0.6001749781
15	0.6929565995	0.5996503497
16	0.6929428442	0.6012216405
17	0.6929300705	0.6010498688
18	0.692917397	0.6013986014
19	0.6929046925	0.6006974717
20	0.6928911665	0.5994764398
21	0.6928788177	0.5998256321
22	0.6928663165	0.600174216
23	0.6928551357	0.6003475239
24	0.6928431268	0.6013864818
25	0.6928315621	0.5987815492
26	0.6928188402	0.5987815492
27	0.6928052883	0.5987815492
28	0.6927939897	0.5987815492
29	0.6927824552	0.5984320557
30	0.6927711518	0.5987815492
31	0.6927591074	0.5984320557
32	0.6927461121	0.5987815492
33	0.6927331356	0.5984320557
34	0.692721208	0.5984320557
35	0.6927101412	0.5989537925
36	0.6926983733	0.5984320557
37	0.6926861558	0.5984320557
38	0.6926770539	0.5984320557
39	0.6926653439	0.5980819529
40	0.6926531552	0.5984320557
41	0.6926424154	0.5984320557
42	0.6926286387	0.5984320557
43	0.6926142114	0.5984320557
44	0.6926019037	0.5984320557
45	0.6925897112	0.5984320557
46	0.6925782065	0.5984320557
47	0.6925663467	0.5984320557
48	0.6925532476	0.5984320557
49	0.6925401318	0.5984320557
50	0.692527832	0.5984320557
51	0.6925140642	0.5984320557
52	0.6925024223	0.5984320557
53	0.6924883437	0.5984320557
54	0.6924778431	0.5984320557
55	0.692465608	0.5984320557
56	0.6924544581	0.5984320557
57	0.6924410263	0.5984320557
58	0.6924276269	0.5984320557
59	0.6924131082	0.5984320557
60	0.6924003264	0.5984320557
61	0.6923878805	0.5984320557
62	0.6923762893	0.5984320557
63	0.6923623662	0.5984320557
64	0.6923504502	0.5984320557
65	0.6923357739	0.5984320557
66	0.6923225584	0.5984320557
67	0.6923109836	0.5984320557
68	0.6922999436	0.5984320557
69	0.6922882902	0.5984320557
70	0.6922774271	0.5984320557
71	0.6922673136	0.5984320557
72	0.6922557663	0.5984320557
73	0.6922398707	0.5984320557
74	0.6922270368	0.5984320557
75	0.6922151678	0.5984320557
76	0.6922018737	0.5984320557
77	0.6921907101	0.5984320557
78	0.6921775277	0.5984320557
79	0.6921658366	0.5984320557
80	0.6921547243	0.5984320557
81	0.6921401911	0.5984320557
82	0.6921263502	0.5984320557
83	0.692113154	0.5984320557
84	0.6920994447	0.5984320557
85	0.6920902001	0.5984320557
86	0.6920785487	0.5984320557
87	0.6920668742	0.5984320557
88	0.6920543479	0.5980819529
89	0.6920437302	0.5980819529
