iter	Passed	Remaining
0	29	44813
1	124	92944
2	153	76816
3	167	62794
4	193	57805
5	220	54828
6	244	52045
7	261	48826
8	281	46564
9	317	47274
10	334	45300
11	356	44244
12	388	44435
13	410	43559
14	421	41724
15	464	43069
16	479	41836
17	500	41223
18	512	39924
19	541	40089
20	552	38917
21	563	37863
22	586	37672
23	629	38738
24	643	37969
25	682	38714
26	692	37795
27	726	38209
28	740	37559
29	754	36967
30	770	36518
31	785	36027
32	808	35924
33	821	35441
34	837	35072
35	851	34627
36	868	34350
37	877	33763
38	932	34919
39	946	34550
40	956	34035
41	972	33745
42	982	33289
43	1025	33918
44	1038	33581
45	1059	33474
46	1076	33289
47	1100	33276
48	1118	33134
49	1133	32875
50	1215	34532
51	1222	34052
52	1249	34110
53	1295	34697
54	1311	34454
55	1329	34275
56	1344	34045
57	1373	34142
58	1393	34027
59	1416	33984
60	1437	33907
61	1463	33936
62	1478	33727
63	1500	33672
64	1511	33374
65	1529	33238
66	1537	32892
67	1566	32988
68	1589	32958
69	1605	32791
70	1634	32900
71	1655	32842
72	1669	32639
73	1677	32334
74	1687	32062
75	1706	31976
76	1716	31729
77	1752	31943
78	1767	31795
79	1792	31817
80	1816	31822
81	1842	31868
82	1853	31651
83	1906	32130
84	1926	32075
85	1966	32332
86	1998	32455
87	2011	32276
88	2044	32420
89	2078	32565
90	2100	32516
91	2118	32424
92	2133	32276
93	2153	32213
94	2168	32070
95	2177	31850
96	2204	31881
97	2303	32954
98	2327	32939
99	2348	32880
100	2358	32675
101	2369	32478
102	2402	32589
103	2438	32725
104	2462	32717
105	2472	32514
106	2488	32392
107	2497	32186
108	2524	32211
109	2533	32010
110	2548	31885
111	2558	31701
112	2605	31983
113	2619	31847
114	2672	32184
115	2707	32306
116	2735	32329
117	2745	32155
118	2754	31965
119	2771	31877
120	2790	31798
121	2798	31606
122	2818	31548
123	2844	31567
124	2895	31853
125	2916	31806
126	2937	31761
127	2964	31773
128	3000	31888
129	3021	31837
130	3034	31715
131	3058	31696
132	3082	31681
133	3101	31620
134	3116	31515
135	3134	31440
136	3148	31321
137	3179	31375
138	3206	31393
139	3219	31273
140	3233	31166
141	3246	31049
142	3269	31022
143	3294	31019
144	3419	31957
145	3489	32360
146	3500	32222
147	3516	32119
148	3530	32008
149	3555	31995
150	3562	31825
151	3580	31754
152	3623	31902
153	3636	31788
154	3666	31818
155	3704	31912
156	3715	31783
157	3728	31671
158	3740	31550
159	3750	31409
160	3758	31259
161	3773	31163
162	3785	31048
163	3793	30906
164	3803	30770
165	3811	30632
166	3819	30490
167	3827	30345
168	3836	30218
169	3845	30085
170	3853	29949
171	3862	29825
172	3872	29702
173	3882	29584
174	3892	29475
175	3901	29351
176	3910	29228
177	3936	29238
178	3945	29119
179	3954	28998
180	3964	28888
181	3974	28781
182	3987	28694
183	3996	28580
184	4010	28507
185	4019	28392
186	4027	28279
187	4038	28182
188	4054	28126
189	4063	28014
190	4073	27917
191	4081	27804
192	4091	27705
193	4100	27604
194	4125	27609
195	4141	27550
196	4210	27850
197	4241	27890
198	4259	27849
199	4282	27838
200	4300	27793
201	4335	27857
202	4350	27799
203	4360	27702
204	4389	27726
205	4403	27662
206	4410	27547
207	4418	27445
208	4433	27383
209	4440	27274
210	4467	27291
211	4520	27464
212	4592	27749
213	4621	27769
214	4638	27724
215	4651	27648
216	4659	27550
217	4679	27520
218	4689	27427
219	4700	27345
220	4711	27268
221	4722	27184
222	4732	27098
223	4741	27007
224	4754	26944
225	4784	26972
226	4823	27050
227	4838	26992
228	4856	26952
229	4867	26879
230	4901	26926
231	4912	26848
232	4935	26840
233	4954	26807
234	4968	26744
235	4993	26743
236	5027	26790
237	5089	26988
238	5099	26905
239	5113	26845
240	5141	26858
241	5162	26838
242	5177	26780
243	5200	26771
244	5214	26710
245	5240	26711
246	5258	26674
247	5274	26629
248	5283	26546
249	5294	26474
250	5353	26640
251	5376	26626
252	5394	26586
253	5410	26539
254	5419	26461
255	5447	26472
256	5463	26426
257	5480	26381
258	5500	26354
259	5524	26348
260	5548	26337
261	5572	26331
262	5670	26672
263	5682	26602
264	5697	26553
265	5742	26640
266	5749	26551
267	5761	26485
268	5790	26496
269	5799	26419
270	5814	26370
271	5840	26370
272	5848	26285
273	5863	26233
274	5873	26165
275	5882	26086
276	5921	26144
277	5930	26069
278	5937	25985
279	5967	25999
280	5983	25957
281	5999	25913
282	6036	25958
283	6050	25905
284	6081	25925
285	6104	25913
286	6122	25876
287	6133	25811
288	6148	25763
289	6169	25739
290	6178	25667
291	6216	25718
292	6236	25692
293	6245	25619
294	6266	25595
295	6278	25538
296	6293	25493
297	6302	25420
298	6379	25626
299	6399	25599
300	6424	25589
301	6452	25597
302	6485	25621
303	6507	25601
304	6541	25629
305	6583	25689
306	6598	25641
307	6632	25667
308	6640	25594
309	6653	25540
310	6766	25868
311	6786	25840
312	6812	25833
313	6840	25837
314	6877	25872
315	6892	25824
316	6923	25837
317	6952	25842
318	6982	25852
319	6994	25792
320	7017	25773
321	7042	25762
322	7054	25706
323	7076	25684
324	7094	25650
325	7122	25648
326	7147	25637
327	7165	25602
328	7176	25542
329	7193	25505
330	7213	25477
331	7231	25441
332	7249	25405
333	7262	25354
334	7297	25377
335	7310	25325
336	7352	25373
337	7395	25423
338	7411	25381
339	7429	25347
340	7448	25315
341	7468	25288
342	7482	25240
343	7502	25211
344	7522	25185
345	7532	25121
346	7553	25099
