iter	Logloss	Precision
0	0.6931361849	0.6190909091
1	0.6931188977	0.6228622862
2	0.6931057535	0.625
3	0.6930924518	0.6186736475
4	0.6930822218	0.6131004367
5	0.6930694973	0.612084063
6	0.6930549254	0.6141732283
7	0.6930419522	0.6138962181
8	0.6930295452	0.6133567663
9	0.6930187107	0.6114035088
10	0.6930026531	0.6119402985
11	0.6929871915	0.6126205083
12	0.6929753851	0.6138353765
13	0.692959563	0.6151832461
14	0.6929461105	0.6143106457
15	0.6929314672	0.615986099
16	0.6929164511	0.6189655172
17	0.692903175	0.6221079692
18	0.6928886169	0.6248941575
19	0.6928751584	0.6256323777
20	0.6928635743	0.6226575809
21	0.6928488023	0.6220136519
22	0.6928356874	0.6239388795
23	0.6928222905	0.625
24	0.6928081551	0.6258389262
25	0.6927958696	0.6238377008
26	0.6927830837	0.6220136519
27	0.6927694974	0.6219201359
28	0.6927584877	0.6182287188
29	0.6927464724	0.619332763
30	0.6927330679	0.6225614928
31	0.6927212799	0.618556701
32	0.6927075661	0.6224489796
33	0.6926939671	0.618556701
34	0.6926783859	0.618680377
35	0.6926673363	0.6163793103
36	0.6926539643	0.6173688736
37	0.6926411267	0.6190068493
38	0.6926292668	0.6170395869
39	0.6926180529	0.6150519031
40	0.6926046806	0.6163793103
41	0.6925905786	0.6173688736
42	0.6925740921	0.6180257511
43	0.6925581911	0.6183533448
44	0.6925440785	0.6163793103
45	0.6925305667	0.6176975945
46	0.6925180858	0.6183533448
47	0.6925052405	0.618680377
48	0.6924896485	0.6199829206
49	0.6924760523	0.6199829206
50	0.6924620857	0.6219201359
51	0.6924471477	0.6215986395
52	0.6924322631	0.6232006774
53	0.6924171852	0.6240538267
54	0.6924018381	0.6248948696
55	0.692389316	0.6219201359
56	0.6923785683	0.6199829206
57	0.692363205	0.6199829206
58	0.692350312	0.620630861
59	0.6923349331	0.6212765957
60	0.6923212276	0.620630861
61	0.6923080798	0.620630861
62	0.692294811	0.6219201359
63	0.6922794557	0.6220338983
64	0.6922655865	0.6233108108
65	0.6922503688	0.6258389262
66	0.6922351567	0.6248948696
67	0.6922236048	0.6232006774
68	0.6922112541	0.6219201359
69	0.6921972868	0.6241554054
70	0.6921873652	0.6196581197
71	0.6921737887	0.6228813559
72	0.692162407	0.620630861
73	0.692147455	0.6212765957
74	0.6921336282	0.6219201359
75	0.6921209204	0.6228813559
76	0.6921089126	0.6238377008
77	0.6920915917	0.6244725738
78	0.6920794983	0.6232006774
79	0.692065907	0.6232006774
80	0.6920529523	0.6241554054
81	0.6920369586	0.6254208754
82	0.6920223264	0.6261525566
83	0.6920104765	0.6274018379
84	0.6919968784	0.6254208754
85	0.6919841018	0.6244725738
86	0.6919714612	0.6225614928
87	0.6919563703	0.6219201359
88	0.6919442671	0.6228813559
89	0.6919296276	0.6228813559
90	0.6919145822	0.6225614928
91	0.6919014708	0.6222410866
92	0.6918848323	0.6222410866
93	0.6918724247	0.6225614928
94	0.6918557272	0.6232006774
95	0.6918436613	0.6232006774
96	0.6918289267	0.6238377008
97	0.6918131418	0.6251053075
98	0.6917977612	0.6244725738
99	0.6917822338	0.6238377008
100	0.6917699052	0.6225614928
101	0.6917581975	0.6225614928
102	0.6917483001	0.6215986395
103	0.6917352217	0.6222410866
104	0.6917200781	0.6228813559
105	0.6917062217	0.6228813559
106	0.6916949259	0.6228813559
107	0.6916814789	0.6244725738
108	0.6916666418	0.6228813559
109	0.6916520999	0.6228813559
110	0.6916384256	0.6244725738
111	0.6916265989	0.6238377008
112	0.691610579	0.6238377008
113	0.6915993303	0.6225614928
114	0.6915852081	0.6235194585
115	0.6915708263	0.6241554054
116	0.6915595881	0.6222410866
117	0.6915457621	0.6232006774
118	0.6915324321	0.6232006774
119	0.6915190342	0.6232006774
120	0.6915045542	0.6232006774
121	0.69149361	0.6219201359
122	0.6914819271	0.6222410866
123	0.691469741	0.6212765957
124	0.6914581028	0.6219201359
125	0.6914458209	0.6228813559
126	0.6914342129	0.6212765957
127	0.6914215421	0.6225614928
128	0.6914068992	0.6232006774
129	0.6913948122	0.6238377008
130	0.691382062	0.6241554054
131	0.6913686235	0.6241554054
132	0.691356386	0.6232006774
133	0.6913430594	0.6222410866
134	0.691328489	0.6212765957
135	0.691314517	0.6228813559
136	0.6913011539	0.6225614928
137	0.6912887404	0.6232006774
138	0.6912740263	0.6241554054
139	0.6912612441	0.6238377008
140	0.6912476077	0.6241554054
141	0.6912315719	0.6241554054
142	0.6912179863	0.6244725738
143	0.6912030405	0.6241554054
144	0.691191697	0.6241554054
145	0.6911773645	0.6238377008
146	0.6911637973	0.6241554054
147	0.6911541184	0.6235194585
148	0.6911406623	0.6235194585
149	0.6911301735	0.6215986395
150	0.6911185958	0.6212765957
151	0.6911003565	0.6212765957
152	0.6910864082	0.6212765957
153	0.6910740367	0.6219201359
154	0.6910616371	0.6222410866
155	0.6910450026	0.6228813559
156	0.6910318998	0.6215986395
157	0.6910179211	0.6222410866
158	0.6910053528	0.6228813559
159	0.6909902484	0.6228813559
160	0.6909768062	0.6235194585
161	0.6909640784	0.6238377008
162	0.690951394	0.6228813559
163	0.6909382678	0.6238377008
164	0.6909219636	0.6251053075
165	0.6909078643	0.6254208754
166	0.6908944648	0.6269907795
167	0.6908809773	0.6273031826
168	0.6908716247	0.6254208754
169	0.6908578402	0.6266778523
170	0.690844643	0.6273031826
171	0.6908292089	0.6276150628
172	0.690817025	0.6273031826
173	0.6908032872	0.6282372598
174	0.6907888592	0.6282372598
175	0.6907746003	0.6297836938
176	0.6907616485	0.6300914381
177	0.6907490196	0.6288573812
178	0.6907374582	0.6294754371
179	0.690722923	0.6303986711
180	0.6907096631	0.6303986711
181	0.6906980783	0.6303986711
182	0.6906858455	0.6297836938
183	0.6906729969	0.6303986711
184	0.6906579126	0.6303986711
185	0.6906455326	0.6303986711
186	0.6906310628	0.6307053942
187	0.6906191008	0.6294754371
188	0.6906057276	0.6300914381
189	0.6905944276	0.6307053942
190	0.6905790659	0.6313173157
191	0.6905681643	0.6297836938
192	0.6905543282	0.6288573812
193	0.6905411591	0.6291666667
194	0.6905272211	0.6288573812
195	0.6905099076	0.6294754371
196	0.6904971915	0.6291666667
197	0.690483372	0.6294754371
198	0.6904682657	0.6297836938
199	0.6904548087	0.6297836938
200	0.6904418428	0.6300914381
201	0.6904280158	0.6300914381
202	0.6904132853	0.6303986711
203	0.6903995879	0.6316225166
204	0.690388741	0.6303986711
205	0.6903783407	0.6294754371
206	0.690364989	0.6282372598
207	0.690349212	0.6279264214
208	0.69033368	0.6279264214
209	0.6903202696	0.6285475793
210	0.6903075841	0.6294754371
211	0.6902925441	0.6294754371
212	0.6902799227	0.6294754371
213	0.6902697527	0.6288573812
214	0.6902577612	0.6282372598
215	0.6902437821	0.6291666667
216	0.6902320121	0.6269907795
217	0.6902220527	0.6269907795
218	0.690208592	0.6269907795
219	0.6901963864	0.6254208754
220	0.6901843232	0.6266778523
221	0.6901714395	0.6276150628
222	0.6901596473	0.6279264214
223	0.6901429789	0.6276150628
224	0.6901274414	0.6282372598
225	0.6901137129	0.6291666667
226	0.6900983124	0.6285475793
227	0.6900857048	0.6288573812
228	0.690071282	0.6279264214
229	0.69005755	0.6282372598
230	0.690048151	0.6266778523
