iter	Passed	Remaining
0	27	40549
1	81	60979
2	102	51266
3	153	57314
4	231	69149
5	284	70919
6	392	83723
7	470	87705
8	519	86088
9	569	84841
10	598	80981
11	631	78269
12	675	77223
13	710	75394
14	726	71881
15	756	70149
16	775	67675
17	825	67956
18	850	66322
19	877	64912
20	911	64182
21	963	64737
22	985	63258
23	1029	63294
24	1073	63352
25	1093	62017
26	1109	60511
27	1132	59516
28	1150	58337
29	1200	58817
30	1231	58359
31	1263	57981
32	1289	57318
33	1315	56712
34	1326	55539
35	1350	54937
36	1389	54929
37	1401	53923
38	1433	53688
39	1473	53765
40	1553	55285
41	1774	61611
42	1872	63439
43	1902	62963
44	1915	61933
45	1959	61921
46	1974	61045
47	1988	60160
48	2007	59436
49	2022	58664
50	2043	58048
51	2063	57452
52	2119	57877
53	2167	58049
54	2192	57603
55	2212	57043
56	2250	56971
57	2271	56474
58	2323	56749
59	2353	56484
60	2380	56153
61	2411	55942
62	2451	55909
63	2490	55889
64	2513	55484
65	2547	55344
66	2579	55178
67	2598	54729
68	2625	54460
69	2680	54762
70	2700	54362
71	2739	54330
72	2767	54099
73	2803	54033
74	2818	53558
75	2842	53260
76	2887	53356
77	2993	54579
78	3122	56164
79	3145	55836
80	3169	55528
81	3199	55327
82	3261	55685
83	3309	55791
84	3339	55593
85	3397	55860
86	3421	55562
87	3456	55460
88	3473	55064
89	3493	54726
90	3531	54685
91	3580	54789
92	3628	54889
93	3681	55060
94	3711	54885
95	3785	55361
96	3822	55294
97	3848	55063
98	3907	55290
99	3931	55046
100	3954	54774
101	3979	54547
102	4013	54434
103	4038	54205
104	4075	54140
105	4111	54069
106	4186	54501
107	4272	55063
108	4491	57321
109	4520	57124
110	4546	56897
111	4580	56769
112	4609	56577
113	4645	56475
114	4688	56465
115	4721	56336
116	4746	56103
117	4788	56077
118	4820	55937
119	4851	55789
120	4881	55632
121	4891	55250
122	4899	54848
123	4906	54445
124	4920	54122
125	4964	54138
126	4994	53995
127	5033	53949
128	5058	53759
129	5083	53568
130	5136	53676
131	5162	53501
132	5188	53324
133	5211	53121
134	5234	52923
135	5258	52736
136	5285	52581
137	5302	52335
138	5316	52051
139	5331	51796
140	5372	51777
141	5389	51542
142	5410	51346
143	5447	51297
144	5470	51124
145	5522	51217
146	5636	51874
147	5744	52477
148	5767	52296
149	5810	52298
150	5826	52055
151	5841	51801
152	5895	51902
153	5947	51982
154	5981	51903
155	6012	51802
156	6054	51792
157	6107	51877
158	6153	51896
159	6200	51925
160	6229	51810
161	6260	51707
162	6302	51693
163	6318	51474
164	6363	51486
165	6385	51311
166	6406	51140
167	6442	51078
168	6450	50804
169	6474	50651
170	6503	50541
171	6525	50385
172	6552	50260
173	6580	50149
174	6614	50080
175	6665	50140
176	6688	49996
177	6820	50652
178	6939	51210
179	7052	51721
180	7080	51600
181	7120	51567
182	7144	51420
183	7166	51252
184	7190	51109
185	7222	51025
186	7251	50915
187	7279	50804
188	7297	50619
189	7313	50425
190	7326	50211
191	7359	50138
192	7375	49945
193	7447	50138
194	7470	49997
195	7500	49903
196	7533	49828
197	7591	49920
198	7621	49824
199	7647	49709
200	7676	49612
201	7717	49589
202	7752	49533
203	7788	49478
204	7814	49365
205	7844	49276
206	7879	49219
207	7908	49123
208	7956	49144
209	7993	49100
210	8015	48969
211	8058	48956
212	8301	50160
213	8367	50283
214	8454	50528
215	8529	50701
216	8551	50557
217	8574	50425
218	8610	50366
219	8635	50242
220	8663	50137
221	8674	49937
222	8729	49990
223	8778	50005
224	8843	50110
225	8896	50150
226	8934	50103
227	8980	50099
228	9024	50089
229	9083	50154
230	9112	50061
