iter	Logloss	Precision
0	0.6930755217	0.6258426966
1	0.6930217801	0.5783783784
2	0.6929618066	0.6169064748
3	0.6928999371	0.6183533448
4	0.6928409068	0.6255666364
5	0.6927951268	0.6241920591
6	0.6927312644	0.6170598911
7	0.6926734175	0.6181818182
8	0.692617277	0.6141450313
9	0.692555649	0.6138790036
10	0.6924990569	0.6151142355
11	0.6924334175	0.6089630931
12	0.6923652149	0.6102292769
13	0.6923158662	0.6061946903
14	0.6922429638	0.6103202847
15	0.6921827262	0.6122082585
16	0.6921293163	0.6098654709
17	0.6920782208	0.6067917784
18	0.6920255429	0.6066012489
19	0.6919673371	0.6067615658
20	0.6919045008	0.6063829787
21	0.6918400304	0.6072695035
22	0.6917752064	0.6068904594
23	0.691724923	0.6040564374
24	0.6916773563	0.6019417476
25	0.691617355	0.6015831135
26	0.6915471005	0.602292769
27	0.6914763296	0.6028243601
28	0.691421369	0.6029929577
29	0.6913540002	0.6035242291
30	0.6912896846	0.6031746032
31	0.6912332431	0.601590106
32	0.6911728173	0.6005291005
33	0.6911293702	0.6021220159
34	0.69107477	0.6021220159
35	0.6910203875	0.6021220159
36	0.690965449	0.6021220159
37	0.6909088535	0.6024734982
38	0.6908482007	0.6014109347
39	0.6907849458	0.6014109347
40	0.6907198352	0.6014109347
41	0.690660115	0.6012323944
42	0.6905959592	0.6019332162
43	0.690547652	0.6008810573
44	0.690490756	0.599471831
45	0.6904399409	0.598944591
46	0.6903889912	0.598944591
47	0.6903363632	0.599471831
48	0.6902643886	0.5985915493
49	0.6902129684	0.5980650836
50	0.6901644065	0.5980650836
51	0.6900976072	0.5991189427
52	0.6900385318	0.5991189427
53	0.6899838257	0.5985915493
54	0.689924644	0.5985915493
55	0.689888931	0.5991189427
56	0.6898366649	0.5991189427
57	0.6897799408	0.5991189427
58	0.6897258954	0.5991189427
59	0.6896564446	0.5991189427
60	0.6895946949	0.5991189427
61	0.6895393699	0.5985915493
62	0.6894826851	0.5985915493
63	0.6894229763	0.5985915493
64	0.6893662003	0.5985915493
65	0.6893187001	0.5985915493
66	0.6892632403	0.5985915493
67	0.6892190697	0.5985915493
68	0.6891656137	0.5980650836
69	0.6891031177	0.5980650836
70	0.689048786	0.5975395431
71	0.6890065462	0.5975395431
72	0.6889420849	0.5975395431
73	0.6888873086	0.5980650836
74	0.688818613	0.5985915493
75	0.6887612472	0.5980650836
76	0.6886902143	0.5980650836
77	0.6886298473	0.5975395431
78	0.6885662459	0.5971855761
79	0.6885126242	0.5971855761
80	0.6884530474	0.5971855761
81	0.6884050134	0.5971855761
82	0.6883504715	0.5971855761
83	0.6882952429	0.5971855761
84	0.6882446633	0.5971855761
85	0.6881756999	0.5971855761
86	0.6881241637	0.5971855761
87	0.6880680681	0.5971855761
88	0.688007284	0.5966608084
89	0.6879406784	0.5966608084
90	0.6878832775	0.5966608084
91	0.6878312332	0.5966608084
92	0.6877690505	0.5966608084
93	0.6877064711	0.5966608084
94	0.6876329306	0.5966608084
95	0.6875766207	0.5966608084
96	0.6875116213	0.5966608084
97	0.6874511666	0.5966608084
98	0.6873962909	0.5966608084
99	0.6873341355	0.5966608084
100	0.6872844831	0.5966608084
101	0.687225095	0.5966608084
102	0.6871711471	0.5966608084
103	0.6871117413	0.5966608084
104	0.6870623474	0.5966608084
105	0.687009333	0.5966608084
106	0.6869564757	0.5966608084
107	0.6869037732	0.5966608084
108	0.6868492084	0.5966608084
109	0.6867821237	0.5966608084
110	0.686729913	0.5966608084
111	0.6866600794	0.5966608084
112	0.6866098124	0.5966608084
113	0.6865616183	0.5966608084
114	0.6865112731	0.5966608084
115	0.6864572593	0.5966608084
116	0.6864032349	0.5966608084
117	0.686354897	0.5966608084
118	0.6862866939	0.5966608084
119	0.6862347031	0.5966608084
120	0.68618066	0.5966608084
121	0.6861305543	0.5966608084
122	0.6860813461	0.5966608084
123	0.6860339027	0.5966608084
124	0.6859804252	0.5966608084
125	0.6859169589	0.5966608084
126	0.6858710146	0.5966608084
127	0.6858271184	0.5971855761
128	0.6857759089	0.5966608084
129	0.6857222048	0.5966608084
130	0.6856781186	0.5966608084
131	0.685626399	0.5966608084
132	0.6855734906	0.5966608084
133	0.6855278621	0.5966608084
134	0.685476538	0.5966608084
135	0.6854278003	0.5966608084
136	0.6853691737	0.5966608084
137	0.6853100453	0.5966608084
138	0.6852522547	0.5966608084
139	0.6851820206	0.5966608084
140	0.6851291756	0.5966608084
141	0.6850727373	0.5966608084
142	0.6850230833	0.5966608084
143	0.684963113	0.5966608084
144	0.6849153921	0.5966608084
145	0.684861518	0.5966608084
146	0.6848123065	0.5966608084
147	0.6847524756	0.5966608084
148	0.6847020633	0.5966608084
149	0.6846457782	0.5966608084
150	0.6845824578	0.5966608084
151	0.6845361759	0.5966608084
152	0.6844691251	0.5966608084
153	0.6844174059	0.5966608084
154	0.684364	0.5966608084
155	0.6843118171	0.5966608084
156	0.6842534073	0.5966608084
157	0.6841834359	0.5966608084
158	0.6841343685	0.5966608084
159	0.6840893595	0.5966608084
160	0.6840374575	0.5966608084
161	0.6839855383	0.5966608084
162	0.6839335372	0.5966608084
163	0.6838749397	0.5966608084
164	0.683807178	0.5966608084
165	0.6837561211	0.5966608084
166	0.6836946713	0.5966608084
167	0.6836441879	0.5966608084
168	0.6835858197	0.5966608084
169	0.6835332589	0.5966608084
170	0.6834870773	0.5963060686
171	0.6834383374	0.5963060686
172	0.6833841231	0.5963060686
173	0.6833244669	0.5963060686
174	0.6832671134	0.5966608084
175	0.6832122749	0.5963060686
176	0.6831511156	0.5966608084
177	0.6830917065	0.5966608084
178	0.6830317878	0.5963060686
179	0.6829782462	0.5963060686
180	0.6829220308	0.5963060686
181	0.6828727271	0.5963060686
182	0.6828217135	0.5966608084
183	0.6827713559	0.5963060686
184	0.6827220011	0.5963060686
185	0.6826697708	0.5966608084
186	0.6826208126	0.5966608084
187	0.682562886	0.5966608084
188	0.6825211841	0.5966608084
189	0.6824623551	0.5966608084
190	0.6824126314	0.5966608084
191	0.6823690824	0.5966608084
192	0.6823128871	0.5966608084
193	0.6822539101	0.5966608084
194	0.6822024485	0.5966608084
195	0.6821571779	0.5966608084
196	0.6821000592	0.5966608084
197	0.6820408707	0.5966608084
198	0.6819797273	0.5966608084
199	0.6819331495	0.5966608084
200	0.6818703471	0.5966608084
201	0.6818122421	0.5966608084
202	0.6817433991	0.5966608084
203	0.6816961761	0.5966608084
204	0.6816355506	0.5966608084
205	0.6815804956	0.5966608084
206	0.6815251065	0.5966608084
207	0.6814710135	0.5966608084
208	0.6814167548	0.5966608084
209	0.6813760816	0.5966608084
210	0.681336037	0.5963060686
211	0.6812817755	0.5966608084
212	0.6812363577	0.5963060686
213	0.6811786422	0.5963060686
214	0.6811354983	0.5963060686
215	0.6810815043	0.5963060686
216	0.681028083	0.5963060686
217	0.6809745119	0.5966608084
218	0.680917814	0.5966608084
219	0.6808640339	0.5966608084
220	0.6808110748	0.5966608084
221	0.6807599001	0.5966608084
222	0.680710455	0.5966608084
223	0.6806590625	0.5966608084
224	0.6806141688	0.5966608084
225	0.6805595733	0.5966608084
226	0.6804999057	0.5966608084
227	0.680446726	0.5966608084
228	0.6803895577	0.5966608084
229	0.680341967	0.5966608084
230	0.6802836137	0.5966608084
231	0.6802424466	0.5966608084
232	0.6801895776	0.5966608084
233	0.6801318813	0.5966608084
234	0.6800882163	0.5966608084
235	0.6800368655	0.5966608084
236	0.6799977224	0.5966608084
237	0.6799425963	0.5966608084
238	0.679903782	0.5966608084
239	0.6798447589	0.5966608084
240	0.6797946865	0.5966608084
241	0.6797467358	0.5966608084
242	0.6796831669	0.5966608084
243	0.6796352911	0.5966608084
244	0.6795791929	0.5966608084
245	0.6795310388	0.5966608084
246	0.6794870912	0.5966608084
247	0.6794409514	0.5966608084
