iter	Logloss	Precision
0	0.6925808402	0.5820642978
1	0.691994956	0.5862884161
2	0.6914348074	0.6111595466
3	0.6908055202	0.6118530885
4	0.6902409039	0.6111111111
5	0.6897397815	0.6072695035
6	0.6891781706	0.6087719298
7	0.6885316974	0.6072056239
8	0.6880010866	0.6101398601
9	0.6874663542	0.611349957
10	0.6869168026	0.6123833757
11	0.6864642873	0.6046915725
12	0.6857577443	0.6100957354
13	0.6852759479	0.6067316209
14	0.684714736	0.6093474427
15	0.6841946167	0.6075174825
16	0.6835040204	0.6077738516
17	0.6829996701	0.6067615658
18	0.6824537864	0.6039076377
19	0.681906545	0.6026548673
20	0.6813135813	0.6038732394
21	0.6808458287	0.6050788091
22	0.680355157	0.6048738033
23	0.6799049448	0.6024518389
24	0.6794183786	0.601404741
25	0.6789599142	0.6022827041
26	0.6784880597	0.6024626209
27	0.6779526543	0.6042031524
28	0.6774034398	0.6029668412
29	0.6768488406	0.6057441253
30	0.6764069788	0.6055363322
31	0.6758665126	0.6043668122
32	0.6752770589	0.6042031524
33	0.6748687835	0.6059027778
34	0.6743686021	0.6064013841
35	0.673921413	0.6022628372
36	0.6734584669	0.6038227628
37	0.6730472615	0.6059027778
38	0.6725131085	0.6070811744
39	0.6720370264	0.6053772767
40	0.6713984454	0.6080964686
41	0.6709619738	0.6092943201
42	0.6705148871	0.6095890411
43	0.6701201328	0.6072351421
44	0.6696188723	0.6053540587
45	0.6692394957	0.6026086957
46	0.6688302139	0.6027874564
47	0.6683732269	0.6017467249
48	0.6679280075	0.6031606673
49	0.6674886881	0.6029798422
50	0.6672015916	0.601754386
51	0.6666727663	0.6028119508
52	0.6662591965	0.6038732394
53	0.6657327885	0.6029929577
54	0.6653495928	0.600703606
55	0.6650925682	0.6001765225
56	0.66468619	0.6012323944
57	0.6642519986	0.6015831135
58	0.663880395	0.6017621145
59	0.66344592	0.6026431718
60	0.6629624513	0.6017621145
61	0.6625335046	0.6015831135
62	0.6620971848	0.6019332162
63	0.6616675335	0.6024626209
64	0.6612579981	0.6022827041
65	0.660810894	0.600703606
66	0.6603542643	0.600703606
67	0.6600473834	0.6012323944
68	0.6596630332	0.601754386
69	0.6592445963	0.6019332162
70	0.6588296083	0.601754386
71	0.6585586698	0.6022827041
72	0.6581409413	0.6012323944
73	0.657738417	0.6008810573
74	0.6573600053	0.601590106
75	0.6569507436	0.6007067138
76	0.6565224558	0.601059135
77	0.6561345817	0.6001765225
78	0.6557108881	0.5996472663
79	0.6552788139	0.6021314387
80	0.6549144287	0.6019503546
81	0.6545837638	0.6015971606
82	0.6542404081	0.599469496
83	0.6538461182	0.6005314438
84	0.6534803116	0.6010638298
85	0.6531741996	0.6021314387
86	0.6528171022	0.6015971606
87	0.6524768469	0.6015971606
88	0.652103041	0.6005314438
89	0.6517268873	0.599469496
90	0.6514118318	0.6005314438
91	0.6510607114	0.6005314438
92	0.6506442659	0.6005314438
93	0.6502677123	0.6012433393
94	0.6498820288	0.6017777778
95	0.6495087233	0.6012433393
96	0.6491348783	0.602484472
97	0.6487708259	0.6035555556
98	0.648402075	0.6030195382
99	0.648120636	0.6030195382
100	0.6476999888	0.6021314387
101	0.6473188595	0.6026666667
102	0.646946627	0.6021314387
103	0.6465889159	0.6010638298
104	0.6462168384	0.6021314387
105	0.6459654601	0.6021314387
106	0.6455633395	0.6021314387
107	0.6451335579	0.6015971606
108	0.6445992702	0.6015971606
109	0.6441586825	0.6015971606
110	0.643715318	0.6021314387
111	0.6433301078	0.6026666667
112	0.6429872281	0.6042780749
113	0.6425737003	0.6037399822
114	0.6423468131	0.6048171276
115	0.642036601	0.6053571429
116	0.641716125	0.6058981233
117	0.6414978101	0.6048171276
118	0.6411641065	0.6042780749
119	0.6407971059	0.6058981233
