iter	Passed	Remaining
0	49	73949
1	75	56587
2	107	53810
3	133	49946
4	169	50571
5	180	45038
6	211	45085
7	225	41997
8	258	42770
9	292	43592
10	331	44816
11	344	42666
12	360	41229
13	377	40115
14	400	39665
15	424	39350
16	438	38280
17	458	37736
18	475	37101
19	483	35791
20	508	35814
21	517	34767
22	551	35441
23	572	35205
24	617	36420
25	641	36356
26	663	36221
27	690	36287
28	731	37095
29	745	36549
30	756	35829
31	775	35565
32	786	34970
33	802	34619
34	824	34514
35	836	34001
36	866	34266
37	908	34935
38	922	34558
39	950	34696
40	962	34257
41	976	33901
42	987	33458
43	1017	33656
44	1050	33980
45	1067	33750
46	1083	33497
47	1124	34028
48	1154	34177
49	1171	33964
50	1181	33560
51	1202	33483
52	1211	33070
53	1231	32987
54	1274	33481
55	1287	33196
56	1309	33152
57	1324	32929
58	1349	32954
59	1364	32740
60	1383	32633
61	1406	32614
62	1434	32717
63	1456	32677
64	1469	32448
65	1480	32163
66	1508	32264
67	1524	32106
68	1541	31973
69	1564	31957
70	1576	31725
71	1591	31561
72	1609	31470
73	1638	31575
74	1657	31496
75	1670	31303
76	1695	31325
77	1729	31522
78	1743	31368
79	1772	31467
80	1801	31557
81	1812	31347
82	1848	31549
83	1866	31472
84	1875	31213
85	1896	31189
86	1908	30988
87	1945	31215
88	1975	31314
89	1996	31272
90	2068	32025
91	2080	31844
92	2106	31868
93	2129	31850
94	2139	31637
95	2151	31463
96	2157	31211
97	2166	30996
98	2186	30940
99	2195	30734
100	2214	30673
101	2243	30755
102	2268	30772
103	2276	30561
104	2287	30396
105	2309	30367
106	2322	30232
107	2355	30355
108	2373	30295
109	2385	30148
110	2421	30302
111	2448	30344
112	2471	30336
113	2488	30257
114	2498	30090
115	2519	30057
116	2533	29946
117	2548	29845
118	2568	29806
119	2577	29642
120	2590	29523
121	2599	29362
122	2655	29727
123	2693	29893
124	2711	29824
125	2755	30051
126	2768	29926
127	2783	29840
128	2797	29730
129	2819	29715
130	2843	29713
131	2887	29922
132	2919	30012
133	2938	29957
134	2953	29858
135	2981	29902
136	2997	29820
137	3018	29787
138	3038	29752
139	3053	29663
140	3070	29593
141	3092	29572
142	3131	29717
143	3147	29635
144	3167	29602
145	3183	29525
146	3200	29461
147	3221	29427
148	3244	29422
149	3257	29320
150	3274	29251
151	3297	29246
152	3319	29223
153	3367	29431
154	3404	29543
155	3419	29460
156	3455	29558
157	3494	29679
158	3529	29767
159	3549	29728
160	3558	29598
161	3582	29587
162	3624	29727
163	3653	29760
164	3678	29761
165	3703	29759
166	3728	29759
167	3782	29988
168	3810	30008
169	3841	30053
170	3871	30090
171	3904	30147
172	3925	30107
173	3957	30161
174	3981	30142
175	3992	30037
176	4007	29957
177	4017	29840
178	4028	29731
179	4045	29670
180	4100	29882
181	4127	29886
182	4145	29832
183	4171	29835
184	4189	29778
185	4212	29762
186	4239	29769
187	4260	29729
188	4275	29659
189	4287	29561
190	4338	29730
191	4372	29788
192	4396	29773
193	4443	29910
194	4454	29810
195	4484	29832
196	4501	29774
197	4516	29700
198	4534	29643
199	4553	29594
200	4563	29495
201	4575	29399
202	4583	29287
203	4598	29216
204	4621	29193
205	4648	29199
206	4668	29160
207	4678	29059
208	4689	28968
209	4706	28913
210	4769	29135
211	4787	29088
212	4806	29042
213	4817	28948
214	4853	29007
215	4861	28899
216	4876	28834
217	4886	28736
218	4913	28741
219	4922	28641
220	4936	28567
221	4958	28542
222	4971	28469
223	4983	28389
224	4993	28297
225	5009	28239
226	5018	28141
227	5029	28057
228	5037	27958
229	5046	27864
230	5052	27757
231	5059	27654
232	5072	27584
233	5080	27485
234	5087	27385
235	5096	27297
236	5113	27248
237	5125	27176
238	5138	27109
239	5147	27026
240	5157	26943
241	5165	26852
242	5177	26779
243	5187	26702
244	5200	26638
245	5208	26552
246	5217	26469
247	5226	26385
248	5235	26303
249	5244	26221
250	5261	26182
251	5272	26110
252	5282	26034
253	5290	25953
254	5299	25871
255	5312	25815
256	5320	25735
257	5329	25656
258	5336	25571
259	5346	25499
260	5357	25431
261	5366	25355
262	5374	25279
263	5391	25242
264	5401	25171
265	5409	25095
266	5425	25054
267	5440	25009
268	5450	24942
269	5460	24873
270	5478	24843
271	5487	24776
272	5541	24905
273	5555	24858
274	5565	24793
275	5615	24902
276	5633	24873
277	5677	24958
278	5691	24906
279	5706	24865
280	5749	24940
281	5781	24972
282	5803	24955
283	5811	24881
284	5829	24850
285	5841	24794
286	5863	24780
287	5880	24745
288	5892	24689
289	5898	24612
290	5915	24575
291	5922	24501
292	5932	24440
293	5957	24438
294	5967	24376
295	5984	24343
296	5994	24279
297	6004	24217
298	6016	24165
299	6026	24107
300	6037	24051
301	6046	23984
302	6055	23921
303	6072	23890
304	6085	23842
305	6099	23798
306	6109	23743
307	6118	23677
308	6126	23614
309	6145	23589
310	6154	23530
311	6176	23519
312	6188	23467
313	6200	23419
314	6207	23353
315	6227	23332
316	6236	23272
317	6247	23222
318	6256	23162
319	6268	23116
320	6276	23054
321	6285	22993
322	6307	22983
323	6316	22926
324	6326	22871
325	6334	22812
326	6341	22746
327	6347	22682
328	6359	22634
329	6368	22577
330	6387	22558
331	6394	22494
332	6400	22431
333	6412	22387
334	6426	22349
335	6439	22309
336	6465	22311
337	6520	22418
338	6537	22389
339	6559	22378
340	6585	22381
341	6598	22342
342	6617	22323
343	6638	22307
344	6654	22279
345	6676	22268
346	6691	22234
347	6713	22223
348	6730	22195
349	6754	22192
350	6766	22150
351	6788	22140
352	6807	22118
353	6849	22174
354	6859	22123
355	6886	22128
356	6901	22095
357	6928	22102
358	6974	22167
359	6986	22122
360	6993	22064
361	7042	22139
362	7069	22144
363	7090	22128
364	7113	22119
365	7126	22081
366	7144	22057
367	7156	22014
368	7165	21963
369	7194	21971
370	7213	21951
371	7230	21924
372	7254	21918
373	7265	21872
374	7290	21870
375	7330	21914
376	7347	21885
377	7356	21836
378	7390	21860
379	7418	21866
380	7440	21854
381	7460	21834
382	7477	21807
383	7498	21793
384	7549	21863
385	7561	21823
386	7577	21793
387	7597	21773
388	7610	21734
389	7626	21705
390	7662	21734
391	7695	21752
392	7716	21734
393	7751	21759
394	7773	21746
395	7814	21786
396	7840	21783
397	7851	21740
398	7872	21723
399	7909	21751
400	7928	21729
401	7938	21683
402	7986	21739
403	7997	21697
404	8013	21665
405	8030	21638
406	8045	21605
407	8064	21585
408	8093	21588
409	8115	21575
410	8140	21570
411	8161	21552
412	8201	21586
413	8218	21557
414	8235	21532
415	8259	21521
416	8277	21497
417	8300	21486
418	8323	21475
419	8336	21436
420	8357	21419
421	8371	21384
422	8395	21374
423	8418	21364
424	8433	21331
425	8452	21310
426	8489	21334
427	8519	21338
428	8536	21312
429	8550	21277
430	8566	21248
431	8583	21220
432	8610	21216
433	8638	21217
434	8668	21223
435	8684	21192
436	8700	21165
437	8737	21186
438	8761	21175
439	8777	21145
440	8797	21126
441	8832	21141
442	8848	21113
443	8860	21073
444	8872	21034
445	8898	21028
446	8932	21041
447	8949	21015
448	8958	20970
449	8992	20981
450	9045	21038
451	9069	21029
452	9083	20995
453	9095	20955
454	9121	20950
455	9164	20981
456	9185	20963
457	9200	20932
458	9215	20899
459	9245	20903
460	9281	20917
461	9304	20905
462	9321	20877
463	9337	20847
464	9347	20805
465	9390	20835
466	9407	20808
467	9421	20776
468	9438	20748
469	9471	20755
470	9483	20718
471	9500	20690
472	9510	20648
473	9522	20613
474	9530	20565
475	9537	20517
476	9543	20468
477	9552	20423
478	9568	20395
479	9582	20362
